Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Corsola (Galarian),95,222,ghost,none,99.3,163.1,139,2251734,47.5,1500,Astonish,Night Shade,Power Gem,5,5,3,50000
Cradily,94.6,346,rock,grass,105.2,140.3,144,2126277,25.5,1497,Acid,Rock Tomb,Grass Knot,7,7,3,50000
Gastrodon,93.8,423,water,ground,113.2,103.4,168,1966737,24,1495,Mud Slap,Body Slam,Water Pulse,4,5,3,50000
Azumarill,93.7,184,water,fairy,93.4,134.5,191,2399514,43,1499,Bubble,Ice Beam,Play Rough,5,6,3,50000
Marowak (Shadow),93.6,105,ground,none,109.6,148.9,125,2040576,31.5,1496,Mud Slap,Bone Club,Rock Slide,4,5,3,50000
Dusknoir (Shadow),92.2,477,ghost,none,119.8,174.2,90,1878255,23.5,1500,Astonish,Dynamic Punch,Shadow Punch,5,4,3,50000
Bastiodon,92.1,411,rock,steel,80.6,247.7,139,2775875,46.5,1496,Smack Down,Stone Edge,Flamethrower,7,7,5,75000
Dusknoir,91.8,477,ghost,none,119.8,174.2,90,1878255,23.5,1500,Astonish,Dynamic Punch,Shadow Punch,5,4,3,50000
Marowak,91.8,105,ground,none,109.6,148.9,125,2040576,31.5,1496,Mud Slap,Bone Club,Rock Slide,4,5,3,50000
Dusclops,91.7,356,ghost,none,102.4,197.7,108,2186937,42,1497,Hex,Ice Punch,Shadow Punch,4,3,3,50000
Altaria,91.6,334,dragon,flying,103.4,151.9,138,2167763,28.5,1499,Dragon Breath,Sky Attack,Flamethrower,13,14,1,10000
Cradily,91.5,346,rock,grass,105.2,140.3,144,2126277,25.5,1497,Bullet Seed,Rock Tomb,Grass Knot,4,4,3,50000
Dragonair (Shadow),91.5,148,dragon,none,125.2,112.5,127,1788369,33,1499,Dragon Breath,Wrap,Aqua Tail,12,9,5,75000
Runerigus,91.5,867,ground,ghost,111.7,165.3,109,2013466,24.5,1500,Shadow Claw,Rock Tomb,Brutal Swing,7,5,3,50000
Corviknight,91.4,823,flying,steel,107,130.7,150,2097411,23,1500,Sand Attack,Air Cutter,Payback,9,15,1,10000
Stunfisk,91.4,618,ground,electric,101.5,126.7,172,2211731,26,1499,Thunder Shock,Mud Bomb,Discharge,5,5,5,75000
Wigglytuff,91.4,40,normal,fairy,115.1,75.5,223,1938893,29,1493,Charm,Icy Wind,Swift,6,5,1,10000
Goodra,91.1,706,dragon,none,119.7,134.1,117,1878306,16,1499,Dragon Breath,Aqua Tail,Thunder Punch,9,10,5,75000
Forretress,90.9,205,bug,steel,109.8,145.5,128,2043769,24.5,1499,Bug Bite,Sand Tomb,Rock Tomb,14,17,5,75000
Clodsire,90.8,980,poison,ground,95.1,119.7,208,2366922,29.5,1500,Poison Sting,Earthquake,Sludge Bomb,8,6,3,50000
Dusclops (Shadow),90.8,356,ghost,none,102.4,197.7,108,2186937,42,1497,Hex,Ice Punch,Shadow Punch,4,3,3,50000
Gligar,90.8,207,ground,flying,108.5,145.3,131,2064887,31,1498,Fury Cutter,Night Slash,Dig,9,13,5,75000
Araquanid,90.6,752,water,bug,97.4,174,136,2306355,32,1499,Bug Bite,Water Pulse,Bubble Beam,17,14,3,50000
Empoleon,90.6,395,water,steel,125.2,117,122,1787543,19,1497,Metal Sound,Hydro Cannon,Drill Peck,5,5,3,10000
Bellibolt,90.5,939,electric,none,115.1,110.2,154,1952887,21,1500,Sucker Punch,Zap Cannon,Parabolic Charge,12,7,1,50000
Dedenne,90.5,702,electric,fairy,124.4,109,133,1803653,30,1498,Thunder Shock,Parabolic Charge,Play Rough,5,7,3,50000
Gligar (Shadow),90.5,207,ground,flying,108.5,145.3,131,2064887,31,1498,Fury Cutter,Night Slash,Dig,9,13,5,75000
Golisopod,90.5,768,bug,water,124.1,134.7,108,1804489,17.5,1499,Fury Cutter,X-Scissor,Aqua Jet,10,10,1,10000
Annihilape,90.4,979,fighting,ghost,123.4,105.2,140,1817129,17,1499,Counter,Rage Fist,Ice Punch,6,7,3,50000
Bastiodon (Shadow),90.4,411,rock,steel,80.6,247.7,139,2775875,46.5,1496,Smack Down,Stone Edge,Flamethrower,7,7,5,75000
Lapras,90.4,131,water,ice,104.7,114.6,179,2147136,21.5,1499,Psywave,Sparkling Aria,Ice Beam,12,14,5,75000
Claydol,90.3,344,ground,psychic,103.6,172.7,121,2164207,29,1500,Mud Slap,Rock Tomb,Ice Beam,5,6,3,50000
Florges,90.3,671,fairy,none,120.1,141.6,110,1869643,17,1499,Fairy Wind,Chilling Water,Trailblaze,5,5,3,50000
Regidrago,90.3,895,dragon,none,121.9,62.7,241,1842328,20,1499,Dragon Breath,Dragon Energy,Hyper Beam,12,20,20,100000
